"","variable","Num.of.SAT.Test.Takers","SAT.Critical.Reading.Avg..Score","SAT.Math.Avg..Score","SAT.Writing.Avg..Score","avg_sat_score","AP.Test.Takers","Total.Exams.Taken","Number.of.Exams.with.scores.3.4.or.5","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","Total.Cohort","grads_percent","dropout_percent","lat","long","d75","highschool","rr_s","rr_t","rr_p","N_s","N_t","N_p","nr_s","nr_t","nr_p","saf_p_11","com_p_11","eng_p_11","aca_p_11","saf_t_11","com_t_11","eng_t_11","aca_t_11","saf_s_11","com_s_11","eng_s_11","aca_s_11","saf_tot_11","com_tot_11","eng_tot_11","aca_tot_11"
"1","saf_p_11",-0.249648532330509,0.11522063215252,0.096144475457932,0.119406091038146,0.113170393779766,-0.128752340178339,-0.0527510663355483,0.00817917029968651,0.00987344932756816,0.250987699895378,-0.284475513063818,0.0557108365462707,-0.340276079771709,0.103071822156133,-0.27153962481736,-0.474326444660972,0.0338381938527539,-0.195577909430511,0.159050294638075,0.0515965405265479,-0.138434670798228,0.138399701275039,-0.394929912791322,0.0117593730061241,-0.198741090086407,0.238100922781881,-0.0602082045865995,-0.0203045543022321,NA,0.184253753438836,0.164135788983801,0.298593606230587,-0.321101232517021,-0.355719939600855,-0.17724229084383,-0.373608533152794,-0.397657606211391,-0.371878427586127,1,0.784987544474217,0.783382118125309,0.818807860585443,0.511171135613557,0.25979801489782,0.328580043725547,0.372393521485921,0.718594926200972,0.594091112905699,0.633231638379283,0.678680025300832,0.819739078343451,0.622353643586107,0.648284495679697,0.686900250466392
"2","com_p_11",-0.33192114832524,-0.0713915476867123,-0.117531336047232,-0.0717470773780865,-0.0908517317194134,-0.201705525698051,-0.16442999718085,-0.0914316060487095,-0.0705333989540845,0.0902906055438796,-0.315570682978403,0.143016535841552,-0.372826925820385,0.138928580057566,-0.131421280819298,-0.396721485769056,-0.139015193317754,-0.0623858354741987,0.18129086442954,-0.0641608117480477,-0.0262137537878996,0.0261732855078633,-0.402262744680654,-0.140283552357822,-0.0401382263609653,0.196891582980641,0.0140944757461625,0.00636221843369991,NA,0.117367344670563,0.14344608104359,0.273606471321985,-0.353234803752185,-0.345129612112092,-0.21544818182761,-0.377341247470689,-0.379598876052856,-0.377352710055737,0.784987544474217,1,0.929369473825521,0.90238840380142,0.331130726456258,0.270287140992582,0.321524200504108,0.358903687171591,0.511177720307004,0.533170640300741,0.55246608682005,0.585032655245935,0.590725403422041,0.670015123714526,0.647928825041088,0.67768096195413
"3","eng_p_11",-0.185545396269935,0.0515533716738594,-0.00254281225367765,0.0465594016895132,0.031440152358108,-0.0884776381398456,-0.0260298353122043,0.0355217778914544,-0.00835189088239036,0.106924484608669,-0.188297150764484,0.0140514244749957,-0.222357700503479,0.0285953960286266,-0.143870458694799,-0.295130801931427,-0.0809531716970239,-0.0540397672512526,0.0779695920135836,0.0469372945058772,-0.0492692732234637,0.0492261263707012,-0.261192706524612,-0.035444683647044,-0.109027509634992,0.140360789639248,-0.0196110492172279,0.023078680595971,NA,0.119648348764195,0.131626605733692,0.302022434607997,-0.214521054076021,-0.215583089053484,-0.0778404190096836,-0.242613242329224,-0.246070388169035,-0.239858455571931,0.783382118125309,0.929369473825521,1,0.890979208647575,0.355464246220024,0.285752952546285,0.339265735255304,0.366534971058858,0.514632904123254,0.514823981906697,0.576931092614855,0.599823197593438,0.604147272156879,0.654879780713051,0.686845230490791,0.682596805287573
"4","aca_p_11",-0.258383970375226,0.0497219445282138,0.00888680836197965,0.0405049512217444,0.0330467594822057,-0.148437367132828,-0.0818064026164656,-0.0231523395266877,-0.0215728177272951,0.145339562597252,-0.291053148048894,0.0338305939630577,-0.303166520368131,0.0620578763482059,-0.229278465176135,-0.379671383392516,-0.0726373881696854,-0.0732353323215703,0.112082963121096,0.00976996629705913,-0.0639449753065391,0.0638979237158425,-0.340408860454012,-0.0683711853374381,-0.116649957305203,0.154416806466737,-0.0176517465557103,-0.021197964127845,NA,0.12170953776745,0.145515689493323,0.251675628387035,-0.297501558155322,-0.301187402642127,-0.153495690205915,-0.329328591087716,-0.336586870652705,-0.328459877816003,0.818807860585443,0.90238840380142,0.890979208647575,1,0.451237886064571,0.325923850062472,0.396246420011392,0.443428827605264,0.595933302598131,0.588885216053394,0.616906925725916,0.671174266054383,0.690591919325344,0.70044406613417,0.712422330263975,0.783233761891517
"5","saf_t_11",0.0988780034817335,0.268762233245233,0.325138810202253,0.283345150073034,0.302989393181743,0.0836002555666628,0.188946537604405,0.143376864429239,0.172698514344559,0.326921822881242,0.0521499061632072,-0.157364506108522,0.0626543768063785,0.0739342486202741,-0.381228120318967,-0.10883364947598,0.259524322399596,-0.287229250100094,0.0172044556891858,0.243160361138803,-0.184186621985429,0.184214937930957,0.0251606372406798,0.19193804301468,-0.220380967140604,-0.00537251562101424,-0.0503904495173335,-0.0523751909969007,NA,0.211392320205082,0.227765046159166,0.202005373869767,0.0363088369933829,0.0177306872236697,0.093895862481325,0.000431560983935782,-0.0252331641025994,9.99551576517884e-05,0.511171135613557,0.331130726456258,0.355464246220024,0.451237886064571,1,0.76980970609438,0.811792631901194,0.852622865587573,0.627634721702208,0.423655941236735,0.50721256670703,0.535249539573797,0.860730637010634,0.75965382844259,0.781868598756929,0.805328771815869
"6","com_t_11",0.0862285174949398,0.0901024131664949,0.0889731534715203,0.093546631139701,0.0936673526525224,0.0107223281608349,0.0561838827380957,-0.0223487267846471,0.0662563354812137,0.0779550381446449,0.143183715005126,-0.126004382586888,0.104990295020106,-0.0396185577256817,-0.0922395279421897,0.0625315317872383,0.0305575553115814,-0.0617737323161553,-0.0384670096666897,0.150242520347387,-0.056371578604555,0.0563961400652621,0.103923353253693,0.0659447272415615,-0.0620793641130296,-0.10375601571075,0.0113222647372391,0.0383052505286757,NA,0.0997436573169805,0.280768721264125,0.127459719838044,0.0456085750200143,0.101424138094862,0.0841229870367417,0.0464623563933555,0.050009934969068,0.0448832997615818,0.25979801489782,0.270287140992582,0.285752952546285,0.325923850062472,0.76980970609438,1,0.918946317076038,0.912116301196498,0.336269293596595,0.248176551464737,0.33889497864509,0.334972154684964,0.562654671771939,0.832808839549919,0.764181511611495,0.736958445295626
"7","eng_t_11",0.0499504655658536,0.0432729065932628,0.0549808240725296,0.0427564155139097,0.048795850219816,-0.00814065092354803,0.0527436478423551,-0.0231003378074021,0.0511899817920542,0.116732719040169,0.0368044286197185,-0.0865471565781575,0.0664323680164207,0.0430940503588731,-0.139038460972203,0.0219095110970371,0.0239450196386869,-0.0830780831155308,-0.00385076491940689,0.136044283752722,-0.0714951517684341,0.0715239511029932,0.0569053716730875,-0.00365805898429822,-0.0626352712636468,-0.0843140205101467,-0.0235008050518872,-0.0362528858352812,NA,0.087751761115775,0.285105544487047,0.127344673176201,0.00833526468814234,0.0550153741847538,0.0427182823625164,0.0069359999737858,-0.000773840973798459,0.00347750921243311,0.328580043725547,0.321524200504108,0.339265735255304,0.396246420011392,0.811792631901194,0.918946317076038,1,0.951173497653623,0.426139305227177,0.336734808172836,0.415113891567638,0.39932854762951,0.640030621135637,0.825015347016954,0.857866302022694,0.803731488099382
"8","aca_t_11",0.0574653838802945,0.120451955247692,0.15103154013067,0.125351089070973,0.137210766056846,0.0231627724932131,0.0969500422347025,0.0473049277721762,0.129134123894892,0.198598467986453,0.040903844594722,-0.113946196422448,0.0525621006461103,0.0405580145710164,-0.208722337057905,-0.0191134745217151,0.0952392359012377,-0.12791608355883,-0.0183514773008206,0.174733720921462,-0.0993154966957999,0.0993340710688267,0.0327186135635104,0.0481472615554135,-0.105589819178205,-0.0842948300489148,-0.0234344806708685,-0.0337413038682816,NA,0.137018006404364,0.256932149355255,0.16883390245441,0.0145338404001323,0.0388764482384287,0.0637600863825811,-0.000660059624429818,-0.0121685663079478,-0.00243322498412608,0.372393521485921,0.358903687171591,0.366534971058858,0.443428827605264,0.852622865587573,0.912116301196498,0.951173497653623,1,0.467442707604904,0.375956456199141,0.443414523702438,0.453218243132488,0.691068402780142,0.846778816808562,0.847201213070218,0.862444934435054
"9","saf_s_11",-0.0184822205234934,0.246543178074746,0.297912618093697,0.242905393905063,0.271663468643591,0.0251542622624041,0.175165347007353,0.210108701285789,0.108973644549704,0.532875217286329,-0.22853654262806,-0.12056417792441,-0.0955886730676472,0.167698690508314,-0.44008515534986,-0.294658701616133,0.285310221380008,-0.424378634022052,0.138585342875702,0.272110250916918,-0.187957134663203,0.187975228507426,-0.118995268509761,-0.044074102332822,-0.159041007385799,0.108917358530946,-0.114002007091561,-0.0105923037549073,NA,0.138507739453438,0.192043639638024,0.227882015535785,-0.132558084737707,-0.137997495355345,-0.0253014236156403,-0.155434046521666,-0.177732281885409,-0.157089540272612,0.718594926200972,0.511177720307004,0.514632904123254,0.595933302598131,0.627634721702208,0.336269293596595,0.426139305227177,0.467442707604904,1,0.82041577080947,0.891468548875159,0.869199971958773,0.896124512243595,0.665230816792358,0.72958118622075,0.732872032971351
"10","com_s_11",-0.14002343963935,0.162702801192735,0.159047233255799,0.153629116634502,0.163197805070123,-0.0903670857057678,0.0252006511106996,0.103318113075668,-0.00726100535059796,0.363447913697359,-0.309974912404812,-0.11261051110297,-0.202304971942843,0.0701112217219307,-0.294125864719116,-0.305626771472425,0.137722358191916,-0.206161230211994,0.0157118214040339,0.219561369868789,-0.128703766559632,0.128720200609767,-0.209855228635447,-0.139094014149092,-0.112890085455402,0.0205593243247668,-0.104422557299844,0.0406280080890096,NA,0.0879501884605489,0.189602872166854,0.249383963121848,-0.241076341581828,-0.215203339910323,-0.124001516601937,-0.240468957060303,-0.248625961315256,-0.243291295880463,0.594091112905699,0.533170640300741,0.514823981906697,0.588885216053394,0.423655941236735,0.248176551464737,0.336734808172836,0.375956456199141,0.82041577080947,1,0.882808364401758,0.866125757614961,0.695372672252965,0.675051300435246,0.669297875716262,0.676987350180001
"11","eng_s_11",-0.0410567295957038,0.159580989384793,0.176901321614188,0.148438584717032,0.167016108574982,-0.0153999564184051,0.132855181376467,0.162950922717897,0.110318330614588,0.396749508573816,-0.240561493918465,-0.110702238024086,-0.0814379720943923,0.109349620145189,-0.338182900490601,-0.217733838824762,0.149333164764798,-0.241799119258649,0.0445010459958734,0.229826837408319,-0.108568596259007,0.108606218090817,-0.10202068898743,-0.130826750042006,-0.0934490782400518,0.0141622828451724,-0.0848713005903775,0.114589635475878,NA,0.0387163232309874,0.190919838242247,0.190866400682846,-0.149160729158774,-0.103136015412976,-0.0512942903763476,-0.14985960603893,-0.141493314649512,-0.151678926265007,0.633231638379283,0.55246608682005,0.576931092614855,0.616906925725916,0.50721256670703,0.33889497864509,0.415113891567638,0.443414523702438,0.891468548875159,0.882808364401758,1,0.922318849455643,0.772151538278427,0.701135853669791,0.775285105306418,0.741389722009615
"12","aca_s_11",-0.0363923481373967,0.28145161412201,0.273131336217809,0.278575246864098,0.285882274965122,0.0221677202938143,0.153280533564931,0.204737682849242,0.139277034620166,0.389645228603969,-0.211439362805046,-0.168550375731389,-0.100875110891988,-0.00258204395569445,-0.380042816846136,-0.273552446372614,0.160229912641868,-0.192769887015598,-0.00672913675856265,0.214929928045092,-0.178204990681287,0.178227063317524,-0.156581532749099,0.00780446331972811,-0.220804222195705,0.0733927747614873,-0.0411446596026987,-0.00722714935791944,NA,0.140302849589651,0.195359637692106,0.260075012319829,-0.139686118607766,-0.134210655858332,-0.0226325649797619,-0.155961306402511,-0.174137466215306,-0.157915077178495,0.678680025300832,0.585032655245935,0.599823197593438,0.671174266054383,0.535249539573797,0.334972154684964,0.39932854762951,0.453218243132488,0.869199971958773,0.866125757614961,0.922318849455643,1,0.793003843069664,0.704484025805202,0.746529005794451,0.789422635228599
"13","saf_tot_11",-0.0455127642365215,0.255229301225385,0.295670464626609,0.261800427547364,0.280431995315941,0.00491021028044104,0.125788974806167,0.134102305779316,0.122975998672244,0.42591838425393,-0.153315891938381,-0.102947778925335,-0.117784865849068,0.128865374765546,-0.432920454474618,-0.317296627020411,0.239655169176154,-0.360207436032101,0.109298888974086,0.23844136199542,-0.208809017687539,0.208815852926403,-0.16818768425982,0.0740854327179052,-0.235081502101245,0.110851783117751,-0.0935053970292151,-0.0396956990241396,NA,0.193856829698674,0.227127397316379,0.281136299196279,-0.134494147214654,-0.156703892479632,-0.0206471939420329,-0.177593549762946,-0.206384674261877,-0.177865523139868,0.819739078343451,0.590725403422041,0.604147272156879,0.690591919325344,0.860730637010634,0.562654671771939,0.640030621135637,0.691068402780142,0.896124512243595,0.695372672252965,0.772151538278427,0.793003843069664,1,0.800041700640036,0.842811352609565,0.868491773409185
"14","com_tot_11",-0.0966120671808124,0.089768350038047,0.0772019475577954,0.0904300931990158,0.0881481298702402,-0.0853382400552312,-0.00861047952930193,-0.00905681134923338,0.0122591970944693,0.191391246210332,-0.106944105409813,-0.0768092390452246,-0.111499858156873,0.0399106852786246,-0.197682695969408,-0.180238562805176,0.0213889885498326,-0.134797850350445,0.0390076752956135,0.158098875669888,-0.0928222968493836,0.0928310047417427,-0.142565350879205,-0.0481135077002867,-0.102442953303008,-0.0015398437873343,-0.0218308444806696,0.0384892667513032,NA,0.132368851455367,0.303930736124219,0.266118972954863,-0.160642213904887,-0.111162808850075,-0.0499515149099939,-0.168824067983758,-0.169662728334937,-0.170806940175429,0.622353643586107,0.670015123714526,0.654879780713051,0.70044406613417,0.75965382844259,0.832808839549919,0.825015347016954,0.846778816808562,0.665230816792358,0.675051300435246,0.701135853669791,0.704484025805202,0.800041700640036,1,0.940600712090651,0.935424407373869
"15","eng_tot_11",-0.0399821215637503,0.0955927242886138,0.0931001183377619,0.0893718822187752,0.0955751080634887,-0.0369031195228487,0.069856192268764,0.0474633198069864,0.0678912596264505,0.221956260597115,-0.122688987276897,-0.0864962430068861,-0.0495900625464329,0.0729474837970051,-0.242621744165439,-0.144645784271632,0.0402387162536797,-0.153035824195044,0.0383693158617656,0.177812311856585,-0.101567330411104,0.10158490804118,-0.0801588677728303,-0.0682488893287409,-0.107579106484688,-0.00831566451009984,-0.0496765882166449,0.0142905453673312,NA,0.101205481366012,0.284364636982649,0.229347688272024,-0.110163288953522,-0.0640540862654399,-0.014118961244482,-0.119168787872036,-0.122629779250056,-0.121328096403369,0.648284495679697,0.647928825041088,0.686845230490791,0.712422330263975,0.781868598756929,0.764181511611495,0.857866302022694,0.847201213070218,0.72958118622075,0.669297875716262,0.775285105306418,0.746529005794451,0.842811352609565,0.940600712090651,1,0.953118216677612
"16","aca_tot_11",-0.0627814997929737,0.174785298973257,0.169754588446693,0.171484972376027,0.177292234567446,-0.0264773027518376,0.0797082607994143,0.0860001696141439,0.111233805059735,0.255447880039162,-0.138054931847045,-0.108611019616438,-0.0940545130521237,0.0358908106604804,-0.307634281936495,-0.215733454684111,0.072038025307848,-0.157225805291941,0.0261673116398619,0.173705595750876,-0.134489823639471,0.134491175906742,-0.142219242082546,0.00154570501623684,-0.169428242219534,0.0221033999373996,-0.0327181013439037,-0.0325418956322031,NA,0.157582449254421,0.257452028970739,0.258628334423892,-0.130320196178975,-0.114979277310766,-0.0169344408831247,-0.153554902360865,-0.168900451581207,-0.154784590329842,0.686900250466392,0.67768096195413,0.682596805287573,0.783233761891517,0.805328771815869,0.736958445295626,0.803731488099382,0.862444934435054,0.732872032971351,0.676987350180001,0.741389722009615,0.789422635228599,0.868491773409185,0.935424407373869,0.953118216677612,1
